person_id,full_name,age,gender,district,socioeconomic_band,education,occupation
P00370,Asha Setty,69,M,KR Puram,Lower-mid,Primary,Daily wage
P00371,Rahul Nayak,65,M,Jayanagar,Low,Primary,IT worker
P00372,Meena Pai,42,M,KR Puram,High,Primary,IT worker
P00373,Divya Sharma,32,F,Jayanagar,Low,Postgraduate,Clerk
P00374,Mahesh Reddy,29,F,KR Puram,Low,Postgraduate,Vendor
P00375,Harish Iyer,48,M,Whitefield,Low,Primary,Unemployed
P00376,Asha Sharma,51,M,Rajajinagar,Low,None,Driver
P00377,Kiran Kumar,19,F,Rajajinagar,Low,Diploma,Student
P00378,Faisal Joshi,53,M,Jayanagar,Low,None,Vendor
P00379,Rajesh Nayak,21,F,KR Puram,Low,Diploma,Unemployed
P00380,Naveen Joshi,43,F,Yelahanka,Lower-mid,Diploma,Mechanic
P00381,Priya Naidu,29,F,Whitefield,Low,Primary,Unemployed
P00382,Roopa Kulkarni,55,M,Whitefield,Lower-mid,Graduate,IT worker
P00383,Deepa Gowda,33,M,Yelahanka,Low,Graduate,Vendor
P00384,Ramesh Kumar,40,F,KR Puram,Lower-mid,Diploma,Student
P00385,Sandeep Prasad,36,M,BTM,Low,Graduate,Vendor
P00386,Ravi Murthy,19,F,Electronic City,Lower-mid,Graduate,Vendor
P00387,Naveen Shetty,31,M,Whitefield,Lower-mid,Postgraduate,Unemployed
P00388,Arun Joshi,70,F,Yelahanka,Lower-mid,Primary,Driver
P00389,Geetha Joshi,36,F,Belagavi,Lower-mid,Graduate,Unemployed
P00390,Harish Joshi,52,M,Rajajinagar,Upper-mid,Diploma,Shop owner
P00391,Divya Rao,47,M,BLR South,Low,Primary,Unemployed
P00392,Bhavani Das,16,M,Mangaluru,Low,Primary,Student
P00393,Priya Pai,19,M,Mangaluru,Mid,Primary,Daily wage
P00394,Bhavani Naidu,20,M,Hubballi,Lower-mid,None,Student
P00395,Divya Pai,24,F,Belagavi,High,Postgraduate,IT worker
P00396,Ganesh Rao,61,F,Belagavi,Upper-mid,Graduate,Student
P00397,Arun Achar,53,F,Yelahanka,Lower-mid,Postgraduate,Clerk
P00398,Lakshmi Rao,62,M,Belagavi,High,Diploma,Unknown
P00399,Imran Rao,54,M,Mangaluru,Low,Graduate,Daily wage
P00400,Sahana Nayak,37,M,Rajajinagar,Lower-mid,Secondary,Driver
P00401,Faisal Setty,58,M,KR Puram,Lower-mid,Secondary,Vendor
P00402,Geetha Setty,20,M,Jayanagar,Mid,None,Mechanic
P00403,Rajesh Raju,42,F,Yelahanka,Lower-mid,Diploma,Student
P00404,Ramesh Iyer,22,F,Mangaluru,Mid,Postgraduate,Vendor
P00405,Naveen Sharma,20,F,BLR South,Low,Secondary,Clerk
P00406,Anita Gowda,37,M,Yelahanka,Low,None,Shop owner
P00407,Faisal Pai,54,F,Electronic City,Mid,Diploma,Driver
P00408,Mahesh Khan,26,M,KR Puram,Low,Primary,Mechanic
P00409,Jyothi Raju,62,M,Hubballi,Low,Primary,Daily wage
P00410,Deepa Iyer,52,M,Electronic City,Low,Secondary,Unemployed
P00411,Sneha Gowda,34,F,Hubballi,Mid,Primary,Daily wage
P00412,Ravi Hegde,26,M,Jayanagar,Lower-mid,None,Clerk
P00413,Asha Das,47,F,Whitefield,Low,Graduate,Mechanic
P00414,Priya Naidu,40,M,Electronic City,Low,Diploma,IT worker
P00415,Mohan Patil,69,M,BLR South,Low,Postgraduate,Daily wage
P00416,Faisal Achar,38,F,Yelahanka,High,Graduate,Vendor
P00417,Jyothi Reddy,69,M,Mysuru,Lower-mid,Graduate,IT worker
P00418,Sandeep Patil,46,M,Yelahanka,Upper-mid,Postgraduate,Unemployed
P00419,Yusuf Joshi,49,F,Hubballi,High,Primary,Daily wage
P00420,Rajesh Rao,26,F,Rajajinagar,Low,Diploma,Daily wage
P00421,Sneha Hegde,68,M,Mangaluru,Low,Postgraduate,Daily wage
P00422,Faisal Iyer,51,M,KR Puram,Upper-mid,Graduate,IT worker
P00423,Suresh Setty,55,M,Yelahanka,Low,Primary,Driver
P00424,Sandeep Joshi,53,M,Jayanagar,Upper-mid,Graduate,Daily wage
P00425,Santosh Gupta,38,F,Whitefield,Lower-mid,Diploma,Unknown
P00426,Mahesh Das,18,M,Yelahanka,Low,Graduate,Mechanic
P00427,Imran Iyer,37,M,BLR South,Mid,Secondary,Student
P00428,Ravi Pai,68,F,Whitefield,Low,Diploma,Daily wage
P00429,Arun Nayak,35,F,Electronic City,Mid,Secondary,Clerk
P00430,Prakash Kulkarni,57,M,Electronic City,Low,Diploma,IT worker
P00431,Bhavani Naidu,68,M,BTM,Low,Postgraduate,Shop owner
P00432,Asha Nayak,65,F,Mangaluru,Low,Primary,Vendor
P00433,Deepa Patil,18,M,KR Puram,Mid,Secondary,Student
P00434,Meena Prasad,41,M,Jayanagar,Mid,Primary,Student
P00435,Sahana Kulkarni,44,M,Electronic City,Mid,Secondary,Student
P00436,Naveen Murthy,63,F,Jayanagar,Low,Diploma,Unemployed
P00437,Naveen Joshi,65,F,Rajajinagar,Mid,Postgraduate,Vendor
P00438,Reshma Desai,42,M,Hubballi,Low,Primary,Driver
P00439,Mahesh Kumar,30,M,Whitefield,Mid,Postgraduate,Clerk
P00440,Sneha Iyer,70,M,Whitefield,Low,Secondary,Shop owner
P00441,Roopa Iyer,53,M,Mysuru,High,Secondary,Shop owner
P00442,Mahesh Kulkarni,34,M,Jayanagar,Lower-mid,Secondary,Clerk
P00443,Ganesh Murthy,32,M,Hubballi,Low,Primary,Shop owner
P00444,Geetha Reddy,67,F,Mangaluru,Lower-mid,Secondary,Driver
P00445,Ravi Desai,47,F,Whitefield,Upper-mid,Diploma,Mechanic
P00446,Imran Joshi,61,F,Rajajinagar,Lower-mid,Postgraduate,Vendor
P00447,Ramesh Desai,66,M,Hubballi,Lower-mid,Secondary,Driver
P00448,Jyothi Rao,34,M,BTM,Mid,Postgraduate,Shop owner
P00449,Priya Achar,37,M,Rajajinagar,Lower-mid,Postgraduate,Clerk
P00450,Prakash Pai,39,M,Whitefield,Lower-mid,None,IT worker
P00451,Deepa Desai,53,M,Mangaluru,Low,Primary,Shop owner
P00452,Kiran Achar,40,M,Yelahanka,Low,Primary,Driver
P00453,Rahul Pai,42,F,Electronic City,Low,Postgraduate,Driver
P00454,Faisal Das,37,M,BTM,Lower-mid,None,Unemployed
P00455,Rajesh Murthy,29,M,BTM,Lower-mid,Primary,IT worker
P00456,Faisal Nayak,55,M,Yelahanka,Lower-mid,Diploma,Mechanic
P00457,Suresh Reddy,50,M,KR Puram,High,Secondary,Shop owner
P00458,Rahul Kumar,59,M,Belagavi,Low,Postgraduate,Student
P00459,Divya Nayak,22,M,Mangaluru,Lower-mid,None,Unemployed
P00460,Divya Bhat,45,M,Mangaluru,Lower-mid,Diploma,Driver
P00461,Pooja Das,38,M,BTM,High,Diploma,Unemployed
P00462,Arun Patil,62,F,Rajajinagar,Mid,Graduate,Shop owner
P00463,Naveen Shetty,39,M,BLR South,Lower-mid,Postgraduate,Clerk
P00464,Ramesh Kulkarni,19,M,BLR South,Mid,Postgraduate,Unemployed
P00465,Deepa Setty,23,M,Yelahanka,Low,Secondary,IT worker
P00466,Vijay Hegde,60,M,BLR South,Lower-mid,Postgraduate,Daily wage
P00467,Bhavani Murthy,55,M,BTM,Lower-mid,None,Shop owner
P00468,Roopa Shetty,34,M,Jayanagar,Lower-mid,Graduate,Vendor
P00469,Mohan Prasad,28,M,Yelahanka,Low,None,Shop owner
P00470,Sahana Hegde,60,F,KR Puram,Low,None,Daily wage
P00471,Kiran Joshi,58,M,Jayanagar,Mid,None,Daily wage
P00472,Mohan Desai,30,M,Whitefield,Low,None,Daily wage
P00473,Priya Reddy,70,M,Hubballi,Lower-mid,Postgraduate,Daily wage
P00474,Anita Reddy,16,F,Hubballi,Mid,Secondary,Student
P00475,Rajesh Kulkarni,33,F,Jayanagar,Lower-mid,Secondary,Driver
P00476,Kiran Iyer,41,F,Whitefield,Upper-mid,Postgraduate,IT worker
P00477,Prakash Desai,67,M,BTM,Mid,None,Driver
P00478,Anita Khan,53,M,Mangaluru,Mid,Primary,Unknown
P00479,Vinay Naidu,55,M,Hubballi,Upper-mid,Postgraduate,Driver
P00480,Karthik Das,23,F,Electronic City,Low,Secondary,Student
P00481,Suresh Setty,59,M,Belagavi,Lower-mid,Graduate,Vendor
P00482,Pooja Prasad,49,M,Mangaluru,Low,Postgraduate,Vendor
P00483,Karthik Naidu,58,M,Yelahanka,Low,Graduate,Unknown
P00484,Deepa Kumar,57,F,Mysuru,Upper-mid,Diploma,Driver
P00485,Manjunath Das,36,M,Whitefield,Low,Primary,Shop owner
P00486,Vinay Iyer,68,M,Electronic City,Lower-mid,Graduate,IT worker
P00487,Faisal Das,44,M,Electronic City,Mid,None,Daily wage
P00488,Asha Khan,18,M,BLR South,Upper-mid,Graduate,Unknown
P00489,Divya Prasad,51,M,Hubballi,Lower-mid,Secondary,Student
P00490,Deepa Patil,70,M,Mysuru,Mid,Graduate,IT worker
P00491,Nandini Setty,44,M,Hubballi,Low,Secondary,Student
P00492,Santosh Gupta,49,M,Jayanagar,Low,Primary,IT worker
P00493,Lakshmi Setty,63,M,Jayanagar,Low,Primary,Vendor
P00494,Kiran Iyer,29,M,Rajajinagar,Mid,None,Mechanic
P00495,Imran Desai,69,M,Jayanagar,Mid,Diploma,IT worker
P00496,Kavya Prasad,24,F,BLR South,Lower-mid,None,Shop owner
P00497,Sneha Joshi,46,F,BTM,Mid,Primary,Driver
P00498,Anita Iyer,58,M,KR Puram,Lower-mid,Diploma,Mechanic
P00499,Mahesh Setty,64,M,Yelahanka,High,Secondary,IT worker
P00500,Lakshmi Nayak,42,M,Belagavi,Lower-mid,Postgraduate,Shop owner
P00501,Ganesh Setty,63,F,Hubballi,Low,Primary,Unknown
P00502,Santosh Achar,38,F,BTM,High,Postgraduate,Driver
P00503,Yusuf Gupta,60,M,Belagavi,Low,Secondary,Shop owner
P00504,Karthik Joshi,52,F,Belagavi,Lower-mid,Postgraduate,Shop owner
P00505,Santosh Khan,67,M,Jayanagar,Low,Primary,Unemployed
P00506,Deepa Hegde,33,M,BTM,High,Postgraduate,Clerk
P00507,Vijay Reddy,60,F,Rajajinagar,Mid,None,Student
P00508,Rajesh Shetty,55,F,Belagavi,Lower-mid,Primary,Shop owner
P00509,Vinay Patil,48,F,Belagavi,Low,Postgraduate,Unemployed
P00510,Vinay Iyer,42,F,Hubballi,Lower-mid,Graduate,Unemployed
P00511,Suresh Raju,32,M,Electronic City,Upper-mid,Postgraduate,Student
P00512,Kavya Gupta,63,M,Belagavi,High,Secondary,IT worker
P00513,Priya Achar,20,M,BTM,Mid,None,Mechanic
P00514,Imran Khan,33,M,BTM,Low,Secondary,Unemployed
P00515,Pooja Sharma,61,F,BLR South,Low,Secondary,Unknown
P00516,Deepa Desai,55,F,Whitefield,Lower-mid,Graduate,Shop owner
P00517,Harish Gowda,66,M,Mysuru,Low,Primary,Shop owner
P00518,Manjunath Prasad,26,M,Mysuru,Lower-mid,Secondary,Vendor
P00519,Shilpa Achar,37,M,Whitefield,Low,Graduate,Shop owner
P00520,Karthik Gupta,68,M,Hubballi,Low,Postgraduate,Student
P00521,Rajesh Patil,57,M,Mangaluru,Low,None,Student
P00522,Vinay Shetty,40,M,Belagavi,Low,Graduate,Student
P00523,Yusuf Prasad,44,M,Whitefield,Upper-mid,Primary,Student
P00524,Yusuf Gowda,22,M,Mysuru,Lower-mid,Postgraduate,Daily wage
P00525,Shilpa Achar,56,M,Hubballi,Lower-mid,None,Vendor
P00526,Ramesh Setty,63,M,Hubballi,Upper-mid,None,Driver
P00527,Ravi Sharma,61,M,Jayanagar,Low,Primary,Clerk
P00528,Jyothi Gowda,52,F,Whitefield,Lower-mid,Diploma,Mechanic
P00529,Sneha Pai,17,M,Jayanagar,Lower-mid,Postgraduate,Unknown
P00530,Manjunath Raju,53,M,Jayanagar,Lower-mid,Graduate,Daily wage
P00531,Santosh Achar,35,M,Whitefield,Mid,Diploma,Mechanic
P00532,Asha Achar,17,M,Mysuru,Low,Postgraduate,Mechanic
P00533,Ramesh Bhat,56,M,Hubballi,Upper-mid,Postgraduate,Student
P00534,Suresh Gupta,51,M,BLR South,Low,Graduate,Mechanic
P00535,Ramesh Gupta,21,M,Belagavi,Mid,Postgraduate,Student
P00536,Shilpa Khan,57,F,BTM,Low,Primary,Unknown
P00537,Mohan Hegde,23,M,Mangaluru,Upper-mid,Graduate,IT worker
P00538,Jyothi Gowda,34,M,Whitefield,Low,Postgraduate,Unknown
P00539,Sahana Pai,38,M,Hubballi,Low,Secondary,Unknown
P00540,Manjunath Hegde,36,M,KR Puram,Mid,Secondary,Unknown
P00541,Vijay Joshi,52,M,KR Puram,High,Primary,Unemployed
P00542,Ganesh Patil,66,M,Belagavi,Mid,Secondary,Student
P00543,Lakshmi Achar,62,M,Electronic City,Lower-mid,Secondary,Clerk
P00544,Sahana Gupta,22,M,Mangaluru,Low,Secondary,Driver
P00545,Ramesh Hegde,32,M,Hubballi,Low,None,Unemployed
P00546,Yusuf Desai,17,F,Mangaluru,Lower-mid,Graduate,Vendor
P00547,Imran Gupta,32,M,Mysuru,Lower-mid,Primary,Student
P00548,Asha Patil,65,M,Whitefield,Low,Graduate,Shop owner
P00549,Faisal Iyer,39,M,Hubballi,Low,Graduate,Driver
P00550,Yusuf Nayak,44,M,Mangaluru,High,Postgraduate,Driver
P00551,Karthik Naidu,18,M,Electronic City,Low,Secondary,Student
P00552,Arun Reddy,58,M,KR Puram,Lower-mid,Diploma,Unemployed
P00553,Imran Desai,36,M,Mysuru,Mid,Secondary,Clerk
P00554,Kavya Gupta,52,M,Hubballi,Lower-mid,Graduate,Daily wage
P00555,Bhavani Murthy,40,F,Rajajinagar,Lower-mid,Secondary,Student
P00556,Sahana Das,54,M,BTM,Lower-mid,Primary,Daily wage
P00557,Yusuf Desai,33,M,BTM,Low,Graduate,Daily wage
P00558,Arun Khan,67,M,Jayanagar,Lower-mid,Diploma,IT worker
P00559,Shilpa Joshi,26,M,Yelahanka,Low,None,Driver
P00560,Sandeep Joshi,26,M,Mysuru,Low,Graduate,Driver
P00561,Deepa Rao,32,F,Mysuru,High,Graduate,Unknown
P00562,Ravi Raju,62,M,Whitefield,High,Primary,IT worker
P00563,Mahesh Das,46,M,Yelahanka,Mid,Graduate,Driver
P00564,Roopa Achar,48,M,Belagavi,Mid,Diploma,Unknown
P00565,Kavya Gowda,30,M,BTM,Low,Primary,Shop owner
P00566,Yusuf Achar,42,F,Mangaluru,Low,Diploma,Unknown
P00567,Mahesh Reddy,66,M,Jayanagar,Low,Postgraduate,Driver
P00568,Mahesh Gupta,68,M,Hubballi,Mid,Graduate,Mechanic
P00569,Nandini Reddy,60,M,Rajajinagar,High,Diploma,Mechanic
P00570,Harish Joshi,67,M,Belagavi,Lower-mid,Diploma,Driver
P00571,Mohan Das,65,M,Jayanagar,Low,Graduate,Mechanic
P00572,Mohan Hegde,16,M,BLR South,Lower-mid,None,Shop owner
P00573,Suresh Iyer,57,M,KR Puram,Lower-mid,None,Driver
P00574,Sneha Desai,53,M,Mysuru,Lower-mid,Secondary,Unknown
P00575,Reshma Achar,41,M,Yelahanka,Lower-mid,Graduate,IT worker
P00576,Priya Naidu,51,M,Whitefield,High,Graduate,Student
P00577,Asha Raju,24,F,Hubballi,Low,Primary,IT worker
P00578,Naveen Shetty,29,M,KR Puram,Upper-mid,Graduate,Unemployed
P00579,Naveen Iyer,56,M,Jayanagar,Upper-mid,Diploma,Unknown
P00580,Sneha Gowda,20,M,KR Puram,Low,None,Mechanic
P00581,Asha Kulkarni,57,M,Belagavi,High,None,Driver
P00582,Sahana Sharma,16,M,Hubballi,High,Graduate,Clerk
P00583,Rahul Reddy,66,M,Mysuru,Mid,Graduate,Driver
P00584,Imran Naidu,31,M,BTM,Low,Secondary,Mechanic
P00585,Harish Achar,41,M,Rajajinagar,Lower-mid,Postgraduate,Daily wage
P00586,Faisal Gupta,34,M,Mysuru,Upper-mid,Secondary,Student
P00587,Reshma Patil,54,F,Electronic City,Upper-mid,Graduate,Unemployed
P00588,Mohan Rao,42,M,Mysuru,Low,Secondary,Student
P00589,Kiran Prasad,32,F,Mangaluru,Low,Diploma,Mechanic
P00590,Sandeep Das,65,M,KR Puram,High,Diploma,IT worker
P00591,Kavya Kumar,46,M,Jayanagar,Lower-mid,Primary,Vendor
P00592,Ganesh Khan,38,M,BLR South,Mid,Secondary,Vendor
P00593,Santosh Gowda,41,M,KR Puram,Low,Primary,IT worker
P00594,Ganesh Naidu,29,F,Whitefield,Low,Postgraduate,Vendor
P00595,Sahana Raju,28,M,Rajajinagar,Upper-mid,Primary,Vendor
P00596,Rahul Patil,69,M,BTM,Mid,None,Daily wage
P00597,Sahana Kulkarni,16,M,Mysuru,High,Diploma,Student
P00598,Roopa Pai,47,F,Mangaluru,Upper-mid,Diploma,Driver
P00599,Yusuf Murthy,41,M,Mangaluru,Low,Graduate,Mechanic
P00600,Karthik Gupta,18,M,Yelahanka,Upper-mid,Primary,IT worker
P00601,Kiran Setty,49,M,Belagavi,Low,Postgraduate,Vendor
P00602,Vinay Joshi,22,M,Mangaluru,Upper-mid,Primary,Shop owner
P00603,Mohan Patil,33,M,Mangaluru,Lower-mid,Primary,IT worker
P00604,Sneha Hegde,42,M,KR Puram,Lower-mid,Diploma,Clerk
P00605,Rajesh Rao,52,M,Mangaluru,Mid,None,Clerk
P00606,Geetha Gupta,43,F,Rajajinagar,Low,Postgraduate,Driver
P00607,Karthik Kumar,27,M,BTM,High,Postgraduate,Shop owner
P00608,Ramesh Raju,36,F,Whitefield,Low,Graduate,Unemployed
P00609,Asha Shetty,60,M,Rajajinagar,Upper-mid,Diploma,Daily wage
P00610,Rajesh Raju,37,M,KR Puram,Lower-mid,Secondary,Student
P00611,Ravi Khan,23,M,Hubballi,High,Primary,Unknown
P00612,Sandeep Desai,57,M,Whitefield,Lower-mid,Postgraduate,Shop owner
P00613,Sahana Raju,44,F,Yelahanka,Mid,Diploma,Driver
P00614,Naveen Desai,67,F,Yelahanka,Mid,Graduate,Mechanic
P00615,Manjunath Gowda,26,M,KR Puram,Lower-mid,Secondary,Clerk
P00616,Mahesh Desai,41,M,Electronic City,Mid,Secondary,Unknown
P00617,Bhavani Sharma,42,M,BLR South,Low,Primary,Clerk
P00618,Faisal Hegde,26,M,Jayanagar,Low,Diploma,Shop owner
P00619,Deepa Kumar,65,M,Jayanagar,Low,Graduate,Driver
P00620,Faisal Desai,40,M,Rajajinagar,Mid,Diploma,Driver
P00621,Lakshmi Prasad,69,M,BLR South,Mid,Secondary,IT worker
P00622,Meena Gupta,33,M,BTM,High,Postgraduate,Shop owner
P00623,Priya Joshi,54,M,Belagavi,Mid,Graduate,Mechanic
P00624,Bhavani Desai,56,M,KR Puram,Lower-mid,Primary,Daily wage
P00625,Rajesh Bhat,39,M,BTM,Lower-mid,None,Shop owner
P00626,Lakshmi Naidu,34,M,BLR South,Mid,Diploma,IT worker
P00627,Divya Kumar,65,M,Whitefield,Mid,None,Shop owner
P00628,Nandini Hegde,42,F,Yelahanka,Lower-mid,Primary,Mechanic
P00629,Vinay Patil,32,M,Hubballi,Low,Graduate,Clerk
P00630,Santosh Desai,63,M,Whitefield,Lower-mid,None,Driver
P00631,Lakshmi Bhat,23,M,Mangaluru,Lower-mid,Postgraduate,Unknown
P00632,Sahana Hegde,36,M,BLR South,High,None,Driver
P00633,Anita Bhat,33,M,Electronic City,Mid,Primary,Daily wage
P00634,Vijay Kumar,47,M,Yelahanka,Lower-mid,Diploma,Student
P00635,Meena Setty,66,M,Jayanagar,Upper-mid,Primary,Unemployed
P00636,Reshma Iyer,20,M,BTM,Low,Secondary,Mechanic
P00637,Suresh Shetty,65,M,Yelahanka,Mid,Diploma,Vendor
P00638,Imran Hegde,45,M,Jayanagar,Lower-mid,Primary,IT worker
P00639,Vinay Achar,35,F,BTM,Mid,None,Shop owner
P00640,Bhavani Shetty,32,M,Whitefield,Low,None,Vendor
P00641,Kiran Patil,56,M,BLR South,Low,Secondary,Unknown
P00642,Kiran Iyer,66,M,BLR South,Mid,Postgraduate,IT worker
P00643,Mahesh Nayak,39,M,Rajajinagar,Low,None,Unknown
P00644,Pooja Desai,19,M,Hubballi,Low,Graduate,Daily wage
P00645,Lakshmi Das,30,M,Mysuru,Mid,Secondary,IT worker
P00646,Rahul Kumar,60,M,Belagavi,Low,None,IT worker
P00647,Rajesh Gupta,34,M,Electronic City,Low,Primary,Shop owner
P00648,Harish Pai,62,M,Mangaluru,Upper-mid,Graduate,Driver
P00649,Manjunath Prasad,25,M,Whitefield,Lower-mid,Diploma,Unemployed
P00650,Yusuf Iyer,62,M,BLR South,Mid,Secondary,Unknown
P00651,Geetha Pai,62,M,Mysuru,Upper-mid,Primary,Shop owner
P00652,Sahana Gupta,25,M,KR Puram,Lower-mid,Secondary,Daily wage
P00653,Anita Prasad,58,M,BTM,Low,None,Vendor
P00654,Anita Das,28,M,Mangaluru,Mid,Diploma,IT worker
P00655,Bhavani Kulkarni,60,M,BLR South,Lower-mid,Graduate,Daily wage
P00656,Suresh Hegde,57,M,Jayanagar,Lower-mid,Postgraduate,Unemployed
P00657,Nandini Gupta,63,F,Yelahanka,Upper-mid,Postgraduate,Unemployed
P00658,Roopa Murthy,49,M,Jayanagar,Upper-mid,None,Vendor
P00659,Bhavani Shetty,22,M,Mysuru,Lower-mid,Primary,Shop owner
P00660,Geetha Joshi,56,F,Mysuru,Mid,Diploma,Daily wage
P00661,Sandeep Naidu,59,M,Hubballi,Lower-mid,None,Driver
P00662,Priya Gupta,41,M,Hubballi,Low,Graduate,IT worker
P00663,Harish Pai,51,F,KR Puram,Upper-mid,Diploma,Mechanic
P00664,Ganesh Kulkarni,31,M,Rajajinagar,Lower-mid,Graduate,Clerk
P00665,Nandini Sharma,44,F,BLR South,Mid,Secondary,Unknown
P00666,Ravi Prasad,24,F,Whitefield,Low,Primary,Vendor
P00667,Ganesh Kumar,65,F,Belagavi,Upper-mid,Graduate,Shop owner
P00668,Jyothi Joshi,52,M,BLR South,Lower-mid,Primary,Driver
P00669,Mohan Naidu,53,M,Whitefield,Upper-mid,None,Unknown
P00670,Asha Joshi,29,M,Belagavi,Lower-mid,Diploma,Driver
P00671,Sahana Setty,60,M,Jayanagar,Mid,Secondary,Unemployed
P00672,Sandeep Iyer,21,F,KR Puram,Lower-mid,Diploma,Mechanic
P00673,Kiran Patil,63,M,Mangaluru,Upper-mid,Postgraduate,Mechanic
P00674,Deepa Bhat,49,M,Mysuru,Lower-mid,Secondary,Shop owner
P00675,Arun Nayak,19,M,Yelahanka,High,Graduate,Unknown
P00676,Yusuf Gowda,30,M,Yelahanka,Low,Secondary,Daily wage
P00677,Karthik Joshi,63,M,Yelahanka,Low,Diploma,Shop owner
P00678,Sneha Setty,24,M,Electronic City,Lower-mid,Diploma,Mechanic
P00679,Sandeep Hegde,51,M,Belagavi,Lower-mid,Primary,Daily wage
P00680,Reshma Khan,36,M,Mangaluru,Low,Postgraduate,Mechanic
P00681,Sneha Naidu,38,M,KR Puram,Mid,None,Clerk
P00682,Naveen Naidu,55,F,Electronic City,Mid,Diploma,Unemployed
P00683,Arun Hegde,59,M,Belagavi,Upper-mid,None,Unemployed
P00684,Geetha Kulkarni,25,F,Whitefield,Low,Postgraduate,Daily wage
P00685,Divya Sharma,46,M,Rajajinagar,Mid,Primary,Vendor
P00686,Ramesh Prasad,64,M,Electronic City,Mid,Primary,Unemployed
P00687,Vinay Joshi,58,M,Whitefield,Low,Secondary,Vendor
P00688,Roopa Murthy,19,M,BLR South,Low,Postgraduate,Clerk
P00689,Nandini Shetty,17,M,Hubballi,Lower-mid,Diploma,Shop owner
P00690,Anita Pai,47,F,Mysuru,Low,Primary,Shop owner
P00691,Meena Gupta,61,M,Rajajinagar,Upper-mid,Secondary,Student
P00692,Sahana Iyer,63,M,KR Puram,Mid,Secondary,Clerk
P00693,Geetha Prasad,33,F,Hubballi,Low,Diploma,Unemployed
P00694,Jyothi Murthy,30,M,Yelahanka,Mid,None,Mechanic
P00695,Bhavani Achar,55,F,Hubballi,Low,Primary,Unknown
P00696,Vijay Khan,35,F,KR Puram,Lower-mid,Primary,Vendor
P00697,Lakshmi Joshi,50,M,Rajajinagar,Upper-mid,Secondary,Shop owner
P00698,Lakshmi Khan,65,M,Mangaluru,Upper-mid,Secondary,Daily wage
P00699,Jyothi Gupta,62,M,KR Puram,Upper-mid,Primary,Unemployed
P00700,Ganesh Khan,42,M,Belagavi,High,Postgraduate,Clerk
P00701,Vijay Hegde,22,M,BLR South,Mid,Graduate,Unknown
P00702,Reshma Kulkarni,52,M,Mangaluru,Low,Postgraduate,Unemployed
P00703,Harish Gowda,60,M,BTM,Lower-mid,Graduate,IT worker
P00704,Nandini Rao,70,M,Electronic City,Low,Primary,Vendor
P00705,Imran Khan,64,F,Whitefield,High,Primary,Vendor
P00706,Shilpa Gowda,27,F,Electronic City,Upper-mid,Diploma,Student
P00707,Meena Patil,43,M,BLR South,Mid,Diploma,Student
P00708,Asha Kulkarni,63,M,Mysuru,Lower-mid,Postgraduate,Unemployed
P00709,Bhavani Shetty,44,M,BLR South,Upper-mid,Primary,Shop owner
P00710,Ramesh Iyer,63,M,Yelahanka,Lower-mid,Postgraduate,Unemployed
P00711,Rahul Bhat,44,M,Whitefield,Mid,Secondary,IT worker
P00712,Naveen Khan,34,M,BLR South,Mid,Primary,IT worker
P00713,Rajesh Gowda,62,M,BTM,Mid,Postgraduate,Shop owner
P00714,Lakshmi Iyer,42,M,BLR South,Low,Graduate,Vendor
P00715,Meena Gowda,32,M,Hubballi,Upper-mid,Primary,Daily wage
P00716,Faisal Shetty,61,M,KR Puram,Low,Postgraduate,Mechanic
P00717,Yusuf Kulkarni,26,M,Yelahanka,Low,Primary,Student
P00718,Sandeep Achar,25,M,BTM,Low,Postgraduate,Unemployed
P00719,Prakash Bhat,35,M,Electronic City,Low,Primary,Daily wage
P00720,Lakshmi Hegde,16,M,Whitefield,Low,Diploma,IT worker
P00721,Ramesh Kumar,54,F,Rajajinagar,Low,Postgraduate,IT worker
P00722,Meena Khan,44,M,Mangaluru,Low,Graduate,Clerk
P00723,Roopa Desai,51,F,Rajajinagar,Low,Primary,Unemployed
P00724,Harish Reddy,25,F,Hubballi,Lower-mid,Graduate,Clerk
P00725,Pooja Gowda,19,M,BTM,Low,Secondary,Unknown
P00726,Mahesh Joshi,66,M,Electronic City,Mid,Secondary,Unemployed
P00727,Faisal Bhat,36,M,Yelahanka,Upper-mid,Diploma,Shop owner
P00728,Manjunath Bhat,46,M,Belagavi,Upper-mid,Secondary,Shop owner
P00729,Prakash Prasad,29,M,Mangaluru,Low,Graduate,Shop owner
P00730,Faisal Das,62,M,Belagavi,Low,Graduate,Student
P00731,Mohan Prasad,52,F,KR Puram,Upper-mid,Graduate,Unknown
P00732,Sahana Prasad,62,M,Electronic City,Upper-mid,Graduate,Vendor
P00733,Santosh Hegde,16,M,Electronic City,Mid,None,Vendor
P00734,Roopa Khan,42,M,KR Puram,Lower-mid,Postgraduate,Vendor
P00735,Suresh Desai,28,M,Whitefield,Mid,Secondary,Clerk
P00736,Yusuf Gupta,36,M,Jayanagar,Mid,Secondary,Mechanic
P00737,Sandeep Kulkarni,17,F,Rajajinagar,Lower-mid,Secondary,IT worker
P00738,Karthik Reddy,57,M,BTM,Mid,Graduate,Student
P00739,Meena Khan,63,M,Mysuru,Low,Postgraduate,Student
P00740,Jyothi Gupta,17,M,Hubballi,Lower-mid,Secondary,Daily wage
P00741,Vijay Murthy,69,M,Yelahanka,Mid,Primary,Unknown
